epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.871666669845581,0.3356664776802063,1e-04,0.9200000166893005,0.20215772092342377
1,0.9649999737739563,0.1335785835981369,1e-04,0.9549999833106995,0.14511220157146454
2,0.9816666841506958,0.0875333920121193,1e-04,0.9700000286102295,0.1369589865207672
3,0.9866666793823242,0.06486588716506958,1e-04,0.9649999737739563,0.1196141168475151
4,0.9900000095367432,0.051645174622535706,1e-04,0.9599999785423279,0.11711690574884415
5,0.9933333396911621,0.042703863233327866,1e-04,0.9649999737739563,0.12888847291469574
6,0.9950000047683716,0.03626294061541557,1e-04,0.9649999737739563,0.11642535030841827
7,0.9950000047683716,0.03409351035952568,1e-04,0.9599999785423279,0.11040911078453064
8,0.9950000047683716,0.027575943619012833,1e-04,0.9649999737739563,0.11494407802820206
9,0.9983333349227905,0.024585535749793053,1e-04,0.9700000286102295,0.11604836583137512
10,0.9983333349227905,0.02050577849149704,1e-04,0.9599999785423279,0.10839203000068665
11,0.996666669845581,0.023564355447888374,1e-04,0.9599999785423279,0.11309622973203659
12,1.0,0.015920642763376236,1e-04,0.9649999737739563,0.11531179398298264
